Income,Credit_Score,Loan_Amount,DTI_Ratio,Employment_Status,Approval
189876,366,122437,9,1,1
128678,691,73947,34,1,1
127711,691,20456,9,0,0
95144,350,63900,38,1,1
81157,478,29632,32,0,1
155105,596,75509,27,0,0
23843,368,6411,93,1,1
26896,519,2670,132,1,1
64965,408,27918,16,0,1
193213,328,69024,23,0,1
41938,540,23424,69,1,1
49348,385,2468,69,1,1
28004,372,14074,145,1,1
160274,441,100330,9,0,1
113336,834,31557,34,1,1
117989,748,71660,4,0,1
26735,565,2534,151,1,1
103938,784,13281,46,0,0
119680,387,79077,20,1,1
189856,386,134928,8,1,1
63345,733,34075,65,0,1
122787,788,84281,39,0,1
31307,663,24376,63,0,1
43183,733,24239,28,1,1
149592,554,64898,11,1,1
107374,686,15025,26,1,1
67638,599,3960,69,1,1
179861,685,66183,16,1,1
26716,572,17767,129,1,1
36976,754,6011,15,1,1
121170,445,47605,12,0,1
92146,428,66867,5,0,1
160147,709,92316,24,0,0
134270,440,52798,16,1,1
158204,755,76464,28,0,0
25781,364,10827,42,0,1
49608,554,11698,57,0,1
48301,538,32136,39,1,1
109582,491,6739,19,1,1
165829,823,106017,6,1,1
63404,668,50183,36,1,1
57917,568,41388,22,0,1
103331,332,38899,17,1,1
168693,726,17562,18,1,1
37126,828,23943,35,1,1
170270,342,1747,23,1,1
164481,448,36585,6,0,1
91006,723,14708,42,0,0
183197,489,99705,16,1,1
130673,554,52881,33,1,1
152834,690,41940,27,0,0
109203,567,7461,23,0,0
180877,438,48338,24,0,1
114716,552,6831,26,1,1
38450,785,14843,26,0,0
176239,850,104516,23,0,0
102414,554,17484,31,0,0
171851,566,98619,15,0,0
147273,307,4247,5,1,1
98305,843,33796,43,0,0
96891,685,36910,30,1,1
150417,720,43844,5,1,1
62422,314,21627,40,1,1
148458,753,71453,18,0,0
100877,626,26203,19,0,0
54303,548,17914,53,1,1
54290,488,23053,59,1,1
48416,706,22889,95,1,1
34076,309,14942,144,0,1
51041,479,20274,29,0,1
132245,789,63121,36,1,1
55215,623,5412,81,1,1
47172,380,19411,35,0,1
117651,815,70914,18,1,1
21604,849,2775,27,1,1
123830,792,74246,30,0,0
40744,477,20514,105,1,1
23570,579,5420,145,1,1
63020,735,10651,15,0,0
34017,508,9232,116,0,1
109692,533,46314,30,1,1
32607,772,12480,126,0,1
89396,826,41601,18,0,0
196095,538,86013,19,1,1
90347,348,57260,7,1,1
191133,676,123479,12,1,1
71592,378,10171,17,0,1
137296,592,81580,29,1,1
138161,748,101159,22,0,1
194194,600,44609,24,1,1
28049,496,18658,147,1,1
39077,786,24403,72,0,1
35932,368,26691,124,1,1
30932,561,24421,85,0,1
121348,535,95265,21,0,1
183611,534,61166,14,1,1
29375,406,3265,131,1,1
144300,817,68395,16,0,0
110528,476,34305,21,1,1
88590,568,8010,37,0,0
114799,367,80005,31,0,1
164826,409,85120,3,1,1
188728,426,141674,7,1,1
154346,561,97382,26,1,1
173701,840,41633,22,0,0
102444,792,18412,41,1,1
91890,760,19026,54,1,1
80961,337,57482,13,1,1
65882,574,14351,20,0,0
62659,833,16615,32,0,0
49551,811,26683,14,0,0
65194,829,4235,59,0,1
58195,424,8665,13,0,1
80298,479,2066,6,0,1
121171,772,50729,27,0,0
27812,820,20558,166,1,1
51903,311,6479,78,1,1
117693,692,38848,9,0,0
164974,596,86180,15,0,0
174568,822,127507,4,1,1
164266,441,42269,10,1,1
174324,623,26600,28,0,0
72050,317,55742,48,1,1
20919,678,16457,111,1,1
134697,376,3561,19,0,1
133469,699,36215,24,0,0
23418,702,10800,125,0,1
78928,588,53937,6,1,1
104916,402,81493,29,1,1
30998,835,1492,146,1,1
132694,729,27516,30,1,1
119069,847,75003,35,1,1
121820,770,70200,4,0,0
133626,832,75154,34,0,0
158710,796,10522,28,1,1
117254,739,48581,14,1,1
169251,765,7127,17,0,0
25839,389,15143,53,1,1
185428,834,147556,23,0,1
23851,609,1191,42,1,1
39094,772,11997,73,1,1
140735,798,39114,24,0,0
147999,603,79921,20,0,0
45315,448,7022,51,1,1
134227,572,22327,12,0,0
107626,824,10758,40,1,1
89293,675,18287,25,0,0
198524,600,128429,14,0,1
134063,817,1378,9,0,0
116251,808,76303,4,0,1
36611,708,24072,52,1,1
92118,354,23502,38,0,1
92992,781,66942,17,0,1
93399,305,12660,9,1,1
190904,829,43183,8,1,1
83011,392,66122,16,1,1
122101,682,64107,4,0,0
112125,360,16226,9,1,1
180017,482,29628,19,0,1
68740,737,49990,14,0,1
79614,751,54792,10,0,1
31495,333,3322,112,1,1
198385,315,127842,2,1,1
152167,619,94241,27,1,1
79507,444,35203,53,1,1
175477,518,91338,18,0,1
93145,783,55187,13,0,0
57028,785,21372,32,0,0
38539,336,11888,56,0,1
112220,712,25009,17,0,0
97796,518,58389,29,1,1
83427,645,56138,17,0,1
91567,745,57264,8,1,1
174215,524,79531,12,0,1
66367,625,26075,30,1,1
56149,348,22888,47,0,1
136479,583,52573,6,1,1
182496,643,21987,15,1,1
61800,510,12978,67,0,1
161778,641,15043,16,0,0
184873,616,27664,3,0,0
41845,402,26523,84,1,1
177555,319,87123,8,1,1
198776,698,47438,4,0,0
126462,679,42304,16,1,1
198936,481,22677,2,0,1
134750,621,47837,31,0,0
61394,727,6173,13,1,1
108410,519,46485,15,1,1
186124,647,115835,3,1,1
149056,402,93298,22,0,1
141555,350,93837,19,1,1
80450,367,1637,10,1,1
197612,521,4199,12,0,1
20787,584,3065,133,0,1
132304,346,81160,28,1,1
38876,607,21100,118,0,1
191426,644,46681,23,1,1
83866,682,45625,59,0,1
114724,697,5359,8,0,0
147636,313,3519,31,1,1
163523,360,72661,6,1,1
145173,569,103012,5,0,1
151322,573,17424,32,0,0
169494,595,99295,14,0,0
20728,702,8511,179,1,1
107601,635,29569,5,0,0
22897,374,7963,163,1,1
86873,433,25070,35,1,1
140423,850,25087,15,0,0
193406,453,59018,10,1,1
44968,371,3093,13,0,1
197410,347,65037,14,0,1
165695,723,67395,23,0,0
59706,419,26167,18,1,1
77657,439,61785,58,0,1
197822,642,88577,17,1,1
168266,490,45824,6,1,1
63905,704,16135,12,0,0
195908,483,38084,2,1,1
112726,833,11189,15,1,1
141468,325,17525,31,0,1
50024,393,11623,55,0,1
67430,493,46902,49,0,1
189616,475,93424,4,0,1
170169,800,96955,3,0,0
47896,414,29608,79,0,1
117367,640,73168,34,0,1
169153,774,44903,21,0,0
165755,829,14197,4,1,1
145501,847,113470,30,0,1
163520,684,124549,27,0,1
172537,791,134448,9,1,1
101524,354,13579,47,0,1
144982,466,8074,3,0,1
181229,601,34413,22,0,0
193666,459,67050,4,0,1
93071,798,28711,25,0,0
48758,367,24586,66,0,1
196456,429,4419,23,0,1
186210,512,73613,4,0,1
54393,433,33638,62,1,1
47062,549,13711,62,0,1
151947,395,44970,21,0,1
86444,705,1378,20,0,0
175941,536,120778,19,1,1
124302,398,71420,36,0,1
38622,323,6305,123,0,1
198948,375,79259,17,1,1
61712,843,8820,31,0,0
84996,582,51737,11,1,1
59540,383,8767,30,1,1
23667,813,13022,36,1,1
129493,702,99715,27,0,1
81307,703,6512,18,1,1
114809,361,77180,21,1,1
98775,337,57555,34,1,1
199531,613,50431,22,0,0
110122,308,85832,22,1,1
138912,494,23143,9,1,1
133728,420,39734,8,0,1
76739,720,10007,63,1,1
89875,454,68461,12,0,1
149234,400,54420,30,0,1
101562,386,79746,47,1,1
77829,505,23205,53,0,1
93854,771,48924,18,0,0
159363,541,33181,12,1,1
29105,546,3578,34,1,1
150943,715,50002,4,1,1
142396,699,89491,29,1,1
106723,764,77916,29,1,1
72263,669,29612,28,1,1
91002,702,66901,33,1,1
132959,513,17577,17,0,1
109982,592,3900,26,0,0
182090,613,23947,21,1,1
124621,446,49655,21,1,1
99190,757,15790,17,0,0
138803,582,32404,10,1,1
89650,485,17061,33,1,1
195032,571,143727,24,0,1
61264,725,20726,20,1,1
75965,357,38130,45,1,1
192434,768,28328,10,0,0
160026,424,124226,23,1,1
57247,423,25140,17,1,1
166009,587,42004,15,0,0
192475,586,114494,8,1,1
90007,810,15736,9,1,1
188510,467,7636,25,1,1
58689,527,31330,58,1,1
171336,740,85912,18,1,1
71112,779,8305,7,1,1
189267,347,94614,24,0,1
160773,364,122578,4,1,1
190151,831,12961,25,0,0
59841,795,12677,83,0,1
101051,490,61701,25,0,1
131521,327,40468,33,0,1
77046,707,53830,51,0,1
63117,335,8970,28,0,1
183167,654,41415,15,1,1
27022,490,16880,158,0,1
53507,682,24084,84,0,1
58891,473,42938,25,1,1
181467,494,46693,21,0,1
115313,785,47404,16,0,0
79411,733,6708,41,1,1
143087,706,7416,7,1,1
154073,491,80578,19,1,1
152557,462,50955,11,0,1
23711,803,6110,55,1,1
112856,527,89836,36,0,1
149235,745,71009,14,1,1
145429,505,59014,18,1,1
58049,514,46275,33,0,1
62306,820,42598,9,0,1
86520,457,21222,31,0,1
112730,714,50417,7,0,0
75329,680,4231,63,1,1
186574,790,18476,11,0,0
34528,578,23402,89,1,1
47404,541,32822,11,1,1
166509,612,85923,7,0,0
193012,373,102021,10,0,1
193302,358,76189,19,1,1
169660,784,96780,28,1,1
102268,583,6902,35,1,1
85910,374,9820,19,1,1
132228,574,11157,7,1,1
132267,578,75655,4,0,0
175300,516,85158,24,1,1
113782,489,63542,7,0,1
24760,559,15240,64,0,1
38643,808,5454,29,0,0
100604,375,75917,18,0,1
182609,713,140455,19,1,1
29525,835,8065,122,0,1
131768,802,31320,27,0,0
54564,748,26519,87,0,1
108897,843,82479,36,1,1
130193,660,84545,15,0,1
73219,418,7009,60,1,1
100941,492,68173,6,1,1
81125,427,3993,17,0,1
173640,370,7165,16,1,1
119126,578,74798,19,1,1
145812,307,1156,5,0,1
167131,775,81260,18,1,1
194425,745,106097,19,1,1
175473,760,24337,14,1,1
121097,655,91521,27,0,1
106671,333,54307,6,0,1
102505,525,27106,34,0,1
91407,736,25441,49,1,1
40729,412,19528,114,1,1
169241,689,85173,11,0,0
117245,777,24494,4,1,1
48867,465,11557,81,1,1
196795,511,79567,16,0,1
102316,596,74346,38,1,1
111404,588,87174,28,1,1
98259,638,39293,22,0,0
87475,374,16900,28,1,1
179242,548,73296,12,1,1
79353,576,18288,40,0,0
197215,475,59858,7,0,1
151204,730,80356,8,1,1
170895,845,71676,27,0,0
61338,406,38421,9,1,1
36044,477,16687,34,0,1
105674,608,46579,36,0,0
185228,722,89258,15,1,1
52941,338,1665,39,0,1
92912,743,51004,26,0,0
180153,528,15315,23,0,1
113263,409,16046,12,0,1
107377,702,70306,26,1,1
106708,645,62781,43,0,0
40678,523,9555,23,1,1
69585,565,26988,38,1,1
42188,374,31623,46,1,1
73661,603,13484,23,1,1
195832,438,66184,3,0,1
139935,599,35750,12,1,1
191972,410,79972,3,0,1
171898,725,104873,22,0,1
164747,621,75590,8,1,1
172716,351,24506,8,1,1
94985,365,35536,37,0,1
99193,512,8660,26,0,1
160656,675,22413,5,0,0
130657,700,24746,20,1,1
61807,503,9747,29,0,1
22442,439,5405,27,1,1
170370,410,54585,11,0,1
25758,524,9311,69,1,1
135598,369,88861,9,1,1
115735,310,56950,29,0,1
179821,655,66306,14,0,0
92874,679,8346,20,0,0
80510,564,12182,45,0,0
76828,577,4058,17,0,0
97595,769,77221,9,0,1
139070,466,87758,11,0,1
33662,682,15396,26,1,1
193160,773,125855,6,1,1
88275,723,24970,13,1,1
121270,668,71991,38,0,0
135528,457,62493,36,0,1
152589,365,21388,11,1,1
173336,651,104337,17,1,1
152941,450,64631,13,0,1
138323,378,14071,12,0,1
42531,348,31008,30,0,1
110873,725,7553,40,0,0
32971,796,23727,73,0,1
176831,454,28149,15,1,1
66714,625,33374,18,0,0
66007,445,26415,56,1,1
77753,765,11718,21,0,0
95828,453,15809,15,1,1
118797,628,35166,42,1,1
71196,301,54507,56,0,1
95994,601,59041,25,0,1
151649,831,67659,24,1,1
91031,775,22785,6,0,0
180917,686,92582,21,0,0
69667,758,17867,53,0,1
131971,514,79346,11,1,1
81124,574,30645,21,1,1
103599,474,48014,14,0,1
129670,382,46782,24,0,1
178488,437,97701,3,0,1
175327,592,19700,7,1,1
77243,343,39758,19,1,1
194283,711,115266,10,0,0
195210,457,108113,24,0,1
194084,484,114105,4,1,1
107877,565,68419,42,0,1
45453,499,8010,40,0,1
30603,344,19805,74,0,1
36838,385,28869,45,0,1
65323,378,50098,44,1,1
193734,415,142119,15,0,1
162459,727,66470,24,1,1
22211,406,4595,194,1,1
165823,850,103095,5,1,1
55013,300,26445,14,0,1
150502,752,69736,31,1,1
102228,833,51818,25,1,1
124672,618,79091,10,1,1
77071,603,12815,62,0,1
134325,448,10843,12,0,1
24484,612,2490,37,1,1
180362,559,57874,22,0,0
147296,823,102251,28,0,1
143485,757,109184,10,1,1
170829,839,43174,6,0,0
164061,320,29749,5,1,1
127432,321,93567,12,0,1
21411,656,13255,83,0,1
108253,498,52908,37,0,1
21008,629,1760,220,1,1
90818,550,31794,43,0,1
165005,465,111421,19,0,1
35634,761,18497,87,1,1
139901,746,30771,15,0,0
151491,694,104494,32,0,1
146786,717,67277,7,1,1
185440,712,105241,8,1,1
84967,744,40938,48,0,0
39499,494,22752,38,0,1
79142,456,45107,14,0,1
68977,772,48731,64,0,1
145008,633,54223,4,1,1
121093,397,6694,39,1,1
172568,471,138008,3,0,1
84844,376,17703,53,1,1
127413,419,66951,27,0,1
175561,729,65736,24,1,1
193209,809,5361,8,0,0
118794,677,70974,26,1,1
180336,662,25694,23,0,0
137497,509,81837,18,0,1
105498,528,36760,42,1,1
136480,605,76934,10,0,0
90285,786,55002,15,1,1
36496,748,21274,116,1,1
25660,303,20506,160,1,1
199831,809,147577,10,1,1
126332,582,67723,7,0,0
99237,415,61560,32,0,1
140149,831,46005,33,0,0
172443,849,29001,23,1,1
173165,846,70526,3,1,1
22589,470,17867,214,1,1
105633,475,5115,12,0,1
56579,769,26998,13,1,1
164933,362,111083,3,0,1
160153,558,69168,17,0,0
20142,494,14180,241,0,1
146475,612,107797,33,0,1
88658,408,46564,46,1,1
23819,452,13142,144,0,1
20165,517,12135,39,1,1
197949,712,156234,5,1,1
24531,666,10593,123,0,1
168198,496,78120,20,1,1
169286,353,126790,22,0,1
159151,783,55322,9,0,0
49621,508,25403,66,0,1
80535,577,20858,30,1,1
177667,344,127864,17,1,1
130608,710,22605,22,1,1
119045,445,16313,11,1,1
180243,746,36894,20,1,1
66729,488,9184,25,0,1
81842,520,43435,56,1,1
27706,564,11069,136,1,1
99580,595,43687,50,1,1
177491,747,45753,14,0,0
160083,530,1800,15,1,1
55960,594,23786,47,0,0
63574,357,49563,8,0,1
53482,489,5455,20,1,1
187796,446,122455,24,1,1
131568,577,85218,30,0,1
165669,628,85208,29,1,1
67433,612,45647,23,1,1
101953,403,16159,31,1,1
116532,386,9724,29,0,1
33690,841,2545,138,1,1
177099,394,118502,12,1,1
90580,782,48988,22,0,0
57000,604,35663,59,1,1
140912,421,77097,20,1,1
72281,566,56535,33,0,1
107390,536,67918,34,0,1
71179,427,15271,55,1,1
37995,505,28049,54,0,1
29813,825,17581,121,0,1
112438,478,72212,32,1,1
22527,592,15247,183,0,1
199377,364,48589,12,0,1
100145,718,28879,26,1,1
146518,824,14307,5,0,0
131373,789,39343,13,1,1
150171,389,59024,24,1,1
175317,707,18119,24,1,1
75024,705,39512,18,1,1
184916,740,90510,11,0,0
29681,414,18441,27,1,1
79736,317,60370,49,0,1
62919,397,36409,16,1,1
96155,594,39641,16,1,1
154899,829,82166,15,1,1
134829,474,49619,30,1,1
186490,656,34139,20,0,0
66963,446,29908,14,1,1
179698,375,79443,7,0,1
41482,773,31350,14,1,1
98446,568,13960,26,1,1
131530,808,69560,11,1,1
47475,384,15263,35,0,1
158454,814,99564,17,1,1
49904,383,17106,85,1,1
40915,581,19888,66,0,1
181794,470,117731,6,1,1
117099,623,74436,12,1,1
173406,512,98955,11,0,1
152275,321,99173,23,0,1
71159,429,26858,69,0,1
51945,546,6231,83,0,1
159627,428,63168,26,1,1
189428,622,32788,14,0,0
31078,360,11750,128,0,1
52248,343,22478,45,0,1
98469,517,28077,35,1,1
109981,843,27953,34,1,1
56663,750,15223,17,1,1
177177,710,65315,23,0,0
83437,361,44760,6,1,1
43684,675,20129,106,1,1
42530,642,25613,71,0,1
168923,490,91889,16,0,1
119570,597,52496,17,0,0
153184,545,64721,23,0,1
27385,462,20480,148,1,1
127442,304,33685,21,1,1
156639,384,106806,18,1,1
38006,722,2145,26,0,0
104758,509,71177,25,1,1
89625,343,17310,32,0,1
195447,301,129559,7,0,1
89221,446,56010,41,0,1
55211,821,18255,21,1,1
138826,418,99956,28,0,1
75421,322,27985,56,0,1
149839,711,92117,14,0,1
65385,817,51038,61,1,1
139103,576,99880,18,1,1
82162,636,50061,48,1,1
148702,426,35849,23,0,1
188244,735,147787,21,0,1
120597,577,27620,6,1,1
174834,815,18040,22,1,1
163753,781,86445,20,1,1
78312,539,27522,24,1,1
137835,314,13359,15,0,1
178608,312,30548,25,1,1
154388,729,25417,4,0,0
54928,657,11935,40,0,0
37778,474,3785,53,0,1
138019,772,1959,9,1,1
37376,320,24176,23,1,1
46137,520,18742,33,1,1
164398,377,82446,5,1,1
45897,447,19156,31,1,1
173978,786,103177,8,1,1
73657,487,25457,22,0,1
98262,447,38960,17,0,1
189262,519,110894,8,0,1
159872,352,26220,4,1,1
157845,741,91117,7,1,1
33175,786,5892,17,1,1
191127,473,40700,4,0,1
175859,643,103478,11,1,1
38370,669,14410,46,0,0
108857,776,80287,33,1,1
35710,398,8975,104,0,1
167609,312,121951,4,0,1
43455,494,30587,16,0,1
44516,411,25947,41,0,1
143892,377,52098,33,1,1
68663,422,53708,9,1,1
93224,717,66008,13,0,1
163434,370,110344,22,0,1
87327,613,54354,24,0,1
79135,608,57153,30,0,1
114514,447,85927,9,1,1
57767,650,15068,29,1,1
57202,317,18799,75,1,1
144376,484,81874,20,0,1
196790,487,93568,16,1,1
78890,433,27802,45,0,1
177988,607,7319,23,0,0
110425,667,71785,39,1,1
120208,337,14863,11,0,1
103799,849,12916,41,0,0
161686,714,97011,14,1,1
145558,738,89403,26,1,1
76071,774,4852,39,0,0
157761,575,60793,16,1,1
154000,536,108592,21,0,1
169916,333,77434,21,0,1
134604,607,7599,5,1,1
72848,702,48865,61,0,1
105468,535,71822,22,1,1
134569,576,6121,25,0,0
78720,840,21877,40,1,1
69149,451,12021,8,0,1
72245,803,49663,69,0,1
114182,636,28280,4,0,0
35980,321,18974,17,1,1
96464,712,32361,35,0,0
20880,828,10367,187,0,1
86092,421,1347,36,0,1
120789,455,19201,16,1,1
139733,844,96257,30,1,1
121765,309,97083,33,1,1
162429,384,56739,25,1,1
121845,550,7640,6,0,1
92700,524,57958,23,0,1
84046,756,13598,12,0,0
44239,678,22608,49,0,0
59342,318,42675,29,1,1
37934,671,11614,48,0,0
128232,720,59520,5,1,1
170668,556,72653,13,1,1
135767,451,13516,6,0,1
89991,316,71657,15,0,1
59900,441,15581,79,1,1
20295,452,3305,150,0,1
110872,812,66127,8,1,1
55636,778,24495,35,0,0
101677,463,46146,19,1,1
22207,601,6225,48,0,0
164614,639,72952,7,0,0
38204,480,11727,121,1,1
95199,707,5155,13,0,0
177709,477,15517,10,1,1
127059,324,12174,6,0,1
156936,446,12359,22,0,1
66079,505,38211,20,1,1
111972,391,4848,11,1,1
118110,311,57280,31,1,1
78822,564,26023,32,0,0
191728,481,116292,7,1,1
186202,607,7593,16,0,0
107266,542,48965,5,1,1
101035,803,35009,14,0,0
166363,731,129757,6,1,1
64322,467,50601,40,0,1
140284,487,60383,21,0,1
122756,728,47017,24,1,1
54084,582,41724,18,1,1
163072,752,113231,23,1,1
144074,778,87820,7,0,1
187539,512,4943,15,0,1
48535,822,33807,51,1,1
58161,428,21526,35,1,1
100635,354,55955,24,1,1
48957,454,23038,21,1,1
178492,664,94563,8,1,1
24506,709,10057,196,1,1
52433,403,41138,93,1,1
163314,382,20235,24,1,1
20660,739,6025,98,0,1
197515,594,132777,19,0,1
158473,829,77898,14,1,1
26081,714,9508,120,0,1
45779,403,12910,17,0,1
117273,618,87050,15,1,1
68886,553,8763,10,1,1
101515,840,1549,32,0,0
57297,402,34111,82,1,1
35323,507,3047,44,0,1
175890,757,13975,23,0,0
92357,333,28506,6,1,1
50612,546,33530,23,0,1
190978,724,28515,4,1,1
113003,352,34865,33,0,1
186758,777,87155,21,1,1
184806,423,55010,5,1,1
78577,645,11855,50,0,1
143875,470,70269,28,1,1
20907,782,13769,67,1,1
79427,779,62963,15,1,1
131870,328,91473,31,0,1
60534,432,45357,30,1,1
146123,802,71185,8,0,0
108826,532,59642,7,1,1
21828,486,1489,109,1,1
142033,812,2930,4,0,0
195408,600,36377,9,0,0
68817,466,26605,18,0,1
177932,691,93382,23,1,1
124440,783,51978,5,1,1
37378,747,23612,122,0,1
171536,673,24446,8,1,1
50261,716,10515,48,1,1
21156,791,4564,26,0,0
32168,835,6129,68,1,1
49492,527,9975,86,1,1
96764,815,29887,9,0,0
99017,409,10777,33,0,1
79934,347,7614,18,1,1
118843,787,94625,24,1,1
125979,550,88522,15,1,1
101227,392,1411,10,1,1
51061,582,28565,73,1,1
148603,817,104184,29,1,1
103901,783,73326,20,1,1
49141,440,6004,82,1,1
106380,400,31698,12,1,1
152825,400,48484,17,1,1
118665,346,79454,41,1,1
79528,692,11060,7,1,1
134067,678,56423,17,1,1
57053,337,5237,49,1,1
27160,771,3003,67,1,1
114805,693,86503,19,1,1
188091,535,17043,19,0,1
147579,625,30919,17,0,0
135946,603,40546,7,1,1
196087,485,14057,15,0,1
107118,565,70216,28,1,1
138192,490,68658,29,1,1
137622,726,33856,24,0,0
136737,686,28115,36,0,0
37720,511,7823,72,1,1
129463,441,80133,21,0,1
158677,741,110562,23,1,1
126545,330,68765,17,1,1
66233,358,52129,40,1,1
88080,306,4329,31,0,1
72432,728,22454,14,1,1
87468,309,26146,29,1,1
138025,359,66561,26,1,1
108867,652,21812,19,1,1
173798,328,69071,11,0,1
145005,515,99248,21,0,1
74065,484,47279,12,0,1
188680,450,28076,19,0,1
141841,679,65237,33,1,1
148927,409,22545,21,0,1
61317,680,19936,20,1,1
171289,538,99250,4,0,1
131366,308,77613,14,0,1
27756,484,19633,115,0,1
89767,488,53103,55,1,1
40298,362,18903,81,0,1
138116,775,29316,4,0,0
70860,756,23441,10,0,0
96337,503,25215,19,1,1
68113,559,25689,34,0,0
135492,463,37521,30,1,1
83351,305,30136,48,0,1
105222,566,21483,8,1,1
48501,524,15736,92,0,1
61419,805,36449,27,0,0
170101,420,59250,17,1,1
98240,739,17441,9,1,1
138636,704,44401,34,0,0
63569,611,14461,44,1,1
183428,682,119657,3,0,1
163165,745,107963,15,0,1
149803,672,111950,21,0,1
31690,310,24424,153,0,1
175981,347,49803,9,0,1
98457,543,5269,46,1,1
162138,335,30513,26,0,1
111356,497,28038,19,0,1
63980,550,5406,44,0,1
118104,639,8782,23,0,0
108511,590,5376,24,0,0
172278,816,75668,23,0,0
84383,497,39606,18,0,1
62784,736,1474,21,0,0
167935,536,34115,7,1,1
43715,465,4770,98,1,1
176878,702,36100,14,0,0
57392,548,27311,65,0,1
146123,770,78070,17,1,1
61956,367,26161,9,0,1
188012,395,54254,22,1,1
183088,400,35718,23,0,1
137004,377,14090,14,1,1
80848,710,62876,16,1,1
144112,626,88527,10,1,1
120426,405,92910,11,0,1
51579,759,2733,38,0,0
192974,845,83681,11,0,0
36012,495,24106,44,0,1
112755,535,47481,23,0,1
44664,577,10147,41,0,0
98515,543,7470,49,1,1
175000,772,37610,26,1,1
178718,429,66883,16,0,1
44490,813,16483,91,1,1
161479,412,24636,27,0,1
162273,794,6432,22,1,1
186211,691,52976,22,0,0
64605,740,7243,43,1,1
63497,648,47950,56,1,1
92073,358,44718,42,1,1
159042,496,23517,25,1,1
145259,438,104355,21,0,1
153146,572,64210,20,0,0
115004,612,84577,16,1,1
41011,701,19200,39,0,0
68120,658,50478,8,0,1
68064,661,42656,71,1,1
98610,757,73413,16,1,1
174398,557,4332,9,0,0
62605,551,6714,36,1,1
175719,311,110446,3,1,1
136230,340,54727,10,1,1
88754,650,48357,9,1,1
68525,368,19680,52,0,1
80712,376,49321,10,0,1
84385,679,24283,21,0,0
98087,774,12382,11,0,0
21517,347,16812,151,0,1
57635,772,44193,63,0,1
124850,587,15535,25,1,1
144256,746,52238,9,1,1
157814,662,2930,3,1,1
141380,477,36569,12,1,1
136573,735,20216,35,0,0
73893,502,8514,43,0,1
94216,395,40278,35,0,1
45989,698,19089,60,1,1
71544,770,31403,23,1,1
157195,670,125652,23,1,1
130622,513,80220,16,1,1
183492,346,113346,12,0,1
105929,648,68056,10,1,1
42686,806,13372,106,0,1
67907,342,19810,23,0,1
100649,573,11193,22,1,1
77415,575,29075,35,1,1
151329,698,34492,28,1,1
63386,667,36131,38,1,1
119221,440,74323,27,0,1
142581,477,68596,12,1,1
36572,312,20517,14,1,1
151297,645,117082,30,1,1
90232,478,52224,12,1,1
104223,316,77225,6,0,1
159888,379,89075,13,1,1
99881,800,54813,47,0,0
78229,766,60410,48,1,1
75647,768,26964,11,1,1
162142,762,127224,29,1,1
87215,724,18219,40,1,1
125940,368,87392,23,1,1
156175,681,98851,24,0,1
59099,763,46598,61,0,1
22907,829,11961,109,0,1
190344,694,77036,3,0,0
127976,738,45231,5,0,0
85006,754,56680,26,0,1
27090,705,15418,135,0,1
126050,782,72826,10,0,0
68079,730,32154,46,1,1
181037,316,119521,21,1,1
77155,814,45318,34,0,0
143398,510,55356,29,0,1
198189,473,133045,19,1,1
26309,622,11572,177,0,1
169684,441,31919,8,1,1
88776,732,53621,11,1,1
126727,700,25486,14,0,0
125439,466,89626,34,0,1
70241,481,56004,54,0,1
61874,802,37821,20,0,1
104635,508,61771,19,0,1
21592,846,14473,151,1,1
64988,714,20132,66,0,1
74066,848,16362,65,0,1
105677,609,79840,44,0,1
93997,667,55859,44,1,1
119714,483,81862,7,1,1
135130,494,49216,3,1,1
62573,578,37792,32,1,1
34235,450,25260,144,0,1
161237,414,62797,19,0,1
186203,685,72061,25,0,0
110109,840,7790,39,0,0
190522,558,38202,22,0,0
20386,504,13692,168,0,1
144768,355,21457,30,1,1
31149,756,7671,26,0,0
184915,332,18194,21,1,1
125411,453,22706,31,1,1
190729,603,139039,12,1,1
193149,319,39615,18,1,1
188187,778,73249,24,0,0
129824,302,78638,25,0,1
48882,475,27617,73,1,1
24077,333,5373,165,0,1
183813,422,15894,18,0,1
71018,570,18650,32,0,0
175939,690,49203,26,1,1
156818,796,11646,3,0,0
97394,446,22273,25,1,1
126908,319,12799,34,0,1
140200,672,2173,15,0,0
169389,762,16413,18,0,0
190138,759,35566,2,1,1
118417,625,91401,11,1,1
112256,663,56694,17,1,1
40751,845,26879,82,1,1
198171,316,105885,10,1,1
163336,450,47173,7,1,1
85213,830,37234,34,1,1
59916,502,16127,22,1,1
119918,712,80209,29,1,1
173434,375,98735,7,1,1
194739,478,14237,7,1,1
178553,837,49370,17,0,0
167764,431,101619,3,1,1
39050,764,20117,108,1,1
69582,653,40994,42,0,0
76449,628,49156,53,1,1
165746,827,130874,21,1,1
117561,744,40466,4,0,0
86796,837,7403,18,1,1
45072,635,35595,40,0,1
60568,429,1645,51,0,1
37432,596,2627,65,1,1
58481,368,43733,42,0,1
94512,372,40389,20,0,1
73510,828,33486,58,1,1
186610,781,9695,7,1,1
195993,692,42882,12,0,0
22977,637,5958,198,0,1
67880,539,16212,39,0,1
131837,738,14409,34,1,1
52794,334,25249,90,1,1
54526,304,32054,19,1,1
184612,302,108083,18,1,1
157938,740,44673,26,1,1
190822,597,82165,2,0,0
